vmm_us	guest_us
5226	1674
1814	1399
1576	1246
1596	1205
1425	1417
1398	1328
1474	1194
1426	1358
1498	1198
1467	1183
1426	1191
1412	1397
1498	1190
1575	1343
1505	1202
1482	1187
1494	1234
1363	1446
1495	1212
1451	1431
1438	1278
1352	1355
1478	1203
4788	1522
1517	1208
1399	1439
