vmm_us	guest_us
3504	64
2277	63
2681	66
3450	62
3167	62
3023	63
3104	63
3378	64
2774	62
2992	63
3178	63
3134	62
2545	62
3138	62
4644	287
2986	63
2893	62
3070	62
3051	63
3076	62
3063	63
3025	63
3049	62
2487	63
3275	62
4013	63
