vmm_us	guest_us
35462	54
42409	55
40976	54
41864	52
35174	52
40680	55
35113	52
34808	53
34849	54
35349	54
38815	64
41556	53
35399	53
40023	53
35820	54
35463	52
37026	54
42518	55
37899	53
41502	52
39064	59
35011	53
44837	57
41905	54
34383	54
44698	54
