vmm_us	guest_us
38452	53
41818	55
39565	55
41154	55
39116	114
41274	54
43942	53
43282	59
45761	57
44909	54
44876	56
45679	56
40085	55
38952	54
40732	57
43485	58
53951	56
39487	53
39473	53
43267	55
40715	58
40954	56
38763	54
39602	53
39063	53
44970	53
