num_queries	speedup
10	0.000232607
10	0.000220163
10	0.000219401
10	0.000235663
10	0.000219965
10	0.000221257
10	0.000222087
10	0.000220315
10	0.000222773
10	0.000219451
10	0.000222429
10	0.000231105
10	0.000231248
10	0.000235692
10	0.000221348
10	0.000233340
10	0.000229431
10	0.000219129
10	0.000236045
10	0.000222863
100	0.000868868
100	0.000873840
100	0.000871015
100	0.000869208
100	0.000867617
100	0.000870496
100	0.000865408
100	0.000883769
100	0.000872782
100	0.000873680
100	0.000869902
100	0.000864014
100	0.000876375
100	0.000870659
100	0.000902077
100	0.000875784
100	0.000872457
100	0.000873868
100	0.000908834
100	0.000870892
1000	0.007575840
1000	0.007477088
1000	0.007412973
1000	0.007540028
1000	0.007481898
1000	0.007511783
1000	0.007489709
1000	0.007519496
1000	0.007565334
1000	0.007582663
1000	0.007584103
1000	0.007595082
1000	0.007484366
1000	0.007397957
1000	0.007491280
1000	0.007484683
1000	0.007476245
1000	0.007522210
1000	0.007544322
1000	0.007462251
10000	0.093145704
10000	0.093178390
10000	0.092494325
10000	0.092625115
10000	0.091925211
10000	0.093054975
10000	0.092009384
10000	0.092092615
10000	0.092383580
10000	0.093480870
10000	0.092772783
10000	0.091465096
10000	0.091537096
10000	0.093006356
10000	0.092872550
10000	0.092795307
10000	0.092551582
10000	0.091571471
10000	0.093099798
10000	0.091952443
60000	1.172463612
60000	1.173719512
60000	1.175143220
60000	1.173712512
60000	1.187695112
60000	1.172475196
60000	1.189432693
60000	1.175121903
60000	1.185058401
60000	1.172905825
60000	1.189046075
60000	1.173066599
60000	1.188887476
60000	1.178048375
60000	1.184014471
60000	1.180396948
60000	1.190349734
60000	1.176062140
60000	1.190841550
60000	1.174155795
100000	3.919828123
100000	3.874040955
100000	3.910092419
100000	3.863123623
100000	3.943178777
100000	3.880172963
100000	3.910069133
100000	3.865984651
100000	3.956495782
100000	3.892223208
100000	3.920082908
100000	3.866622802
100000	3.908641851
100000	3.870293537
100000	3.907822729
100000	3.868342393
100000	3.928553909
100000	3.876830239
100000	3.905815455
100000	3.852176476
