num_queries	speedup
10	0.000252594
10	0.000237895
10	0.000236309
10	0.000250694
10	0.000237178
10	0.000247733
10	0.000238047
10	0.000237382
10	0.000232570
10	0.000254557
10	0.000237390
10	0.000265741
10	0.000237874
10	0.000236431
10	0.000239027
10	0.000241582
10	0.000237845
10	0.000238224
10	0.000234836
10	0.000236806
100	0.000949153
100	0.000960088
100	0.000951551
100	0.000943599
100	0.000949010
100	0.000950115
100	0.000951062
100	0.000954986
100	0.000945972
100	0.000951552
100	0.000947003
100	0.000954893
100	0.000958388
100	0.000947598
100	0.000959952
100	0.000946348
100	0.000947775
100	0.000953873
100	0.000949308
100	0.000952739
1000	0.008204233
1000	0.008217244
1000	0.008276590
1000	0.008112388
1000	0.008170076
1000	0.008346130
1000	0.008269670
1000	0.008292498
1000	0.008185840
1000	0.008299297
1000	0.008192886
1000	0.008198550
1000	0.008139850
1000	0.008345602
1000	0.008208646
1000	0.008284538
1000	0.008213957
1000	0.008280951
1000	0.008371332
1000	0.008316220
10000	0.096285582
10000	0.094586706
10000	0.094375267
10000	0.095184649
10000	0.095964180
10000	0.094605585
10000	0.094299761
10000	0.095000429
10000	0.095371296
10000	0.094891267
10000	0.094139549
10000	0.094582793
10000	0.095130708
10000	0.094726521
10000	0.094158719
10000	0.094132260
10000	0.094331469
10000	0.094818559
10000	0.094131260
10000	0.094013458
60000	1.125989181
60000	1.109901596
60000	1.126653430
60000	1.107083117
60000	1.126968371
60000	1.109546051
60000	1.127860706
60000	1.111572262
60000	1.129652569
60000	1.112163389
60000	1.129717625
60000	1.116949863
60000	1.120953757
60000	1.113661218
60000	1.124520477
60000	1.114573665
60000	1.125362498
60000	1.113780450
60000	1.124036301
60000	1.115525318
100000	3.592360282
100000	3.608892921
100000	3.588135046
100000	3.558633439
100000	3.512248682
100000	3.563391997
100000	3.589542366
100000	3.558082470
100000	3.592841566
100000	3.549448501
100000	3.587114338
100000	3.548471987
100000	3.603410472
100000	3.560444222
100000	3.606043568
100000	3.575787636
100000	3.559741333
100000	3.514376123
100000	3.654766126
100000	3.523875028
