num_queries	speedup
10	0.000288190
10	0.000291200
10	0.000291142
10	0.000305995
10	0.000294554
10	0.000292724
10	0.000290328
10	0.000292726
10	0.000291998
10	0.000338654
100	0.000959756
100	0.000956260
100	0.000963243
100	0.000957388
100	0.000961832
100	0.000963503
100	0.000955728
100	0.000971808
100	0.000959089
100	0.000965003
1000	0.007806203
1000	0.007778797
1000	0.007723278
1000	0.007705837
1000	0.007712630
1000	0.007694369
1000	0.007791926
1000	0.007749884
1000	0.007807799
1000	0.007778006
10000	0.088644573
10000	0.089898532
10000	0.089317229
10000	0.089250383
10000	0.088826255
10000	0.088439635
10000	0.088610644
10000	0.088734312
10000	0.088881681
10000	0.088510268
60000	1.003598954
60000	1.002022042
60000	1.001145801
60000	1.005254279
60000	1.009148560
60000	1.007351962
60000	1.002717331
60000	1.011446876
60000	1.001113826
60000	1.002853462
100000	3.245574401
100000	3.303202076
100000	3.283783148
100000	3.205860326
100000	3.180278491
100000	3.343843417
100000	3.250985326
100000	3.284171902
100000	3.281266628
100000	3.213684484
